cuenta_id,total_depositos,total_retiros,total_compras,saldo_neto,cantidad_movimientos
101,38000.00,-10800.00,-12700.00,14500.00,41
102,24200.00,-24400.00,-23800.00,-24000.00,47
103,12200.00,-15500.00,-42400.00,-45700.00,37
104,17300.00,-25800.00,-28200.00,-36700.00,49
105,27100.00,-26200.00,-19400.00,-18500.00,52
106,30300.00,-17000.00,-40200.00,-26900.00,55
107,28900.00,-30200.00,-23100.00,-24400.00,51
108,18200.00,-36300.00,-22700.00,-40800.00,49
109,40100.00,-28600.00,-14700.00,-3200.00,46
110,18600.00,-17900.00,-20500.00,-19800.00,41
111,31600.00,-30100.00,-18300.00,-16800.00,43
112,30500.00,-29700.00,-20100.00,-19300.00,44
113,24600.00,-13600.00,-19300.00,-8300.00,35
114,25700.00,-32000.00,-32500.00,-38800.00,53
115,18600.00,-7300.00,-28100.00,-16800.00,39
116,40900.00,-28600.00,-31100.00,-18800.00,54
117,26700.00,-20200.00,-17600.00,-11100.00,35
118,33300.00,-27100.00,-30700.00,-24500.00,47
119,24600.00,-16600.00,-36500.00,-28500.00,44
120,20500.00,-24600.00,-16600.00,-20700.00,36
